Base_Index,Target_Index,Match_Cost
0,18,1.0000
1,30,1.0000
2,49,1.0000
3,23,0.8150
4,25,0.8185
5,2,0.5002
6,0,0.1219
7,99,1.0000
8,1,0.1164
9,37,1.0000
10,17,0.5184
11,43,1.0000
12,3,0.1241
13,44,1.0000
14,81,0.9262
15,5,0.0718
16,4,0.1311
17,9,0.1179
18,8,0.1617
19,7,0.1096
20,46,1.0000
21,15,0.1640
22,10,0.0600
23,12,0.0683
24,32,0.3545
25,14,0.2446
26,11,0.1016
27,67,0.7199
28,39,0.4481
29,13,0.0980
30,21,0.2630
31,51,0.6062
32,16,0.1312
33,26,0.2223
34,55,1.0000
35,20,0.1127
36,40,1.0000
37,22,0.1271
38,24,0.1649
39,34,0.1836
40,6,0.4525
41,33,1.0000
42,27,0.0814
43,19,0.1991
44,31,0.1470
45,29,0.0420
46,28,0.0926
47,36,0.0861
48,42,0.1709
49,38,0.0598
50,35,0.1061
51,45,1.0000
52,41,0.1036
53,52,1.0000
54,53,0.0846
55,50,0.0812
56,47,1.0000
57,59,0.0890
58,54,0.1076
59,48,1.0000
60,60,0.0815
61,82,0.3207
62,64,0.0855
63,66,0.1135
64,63,0.1549
65,72,0.1823
66,56,1.0000
67,73,0.0928
68,77,0.0995
69,84,0.1127
70,103,0.1181
71,57,1.0000
72,58,1.0000
