Date,Spot,Raw Data Files,Raw on Filer,Orthomosaic Created,OM on Filer,Notes
21/06/25,spot_1,0,yes (placeholder),yes,yes,Full ODM bundle on filer ortho_images
08/07/25,spot_1,0,yes (placeholder),yes,yes,Full ODM bundle on filer ortho_images
11/09/25,spot_1,89,yes,yes,yes,
20/07/25,spot_1,0,yes (placeholder),yes,yes,Full ODM bundle on filer ortho_images
10/08/25,spot_1,0,yes (placeholder),yes,yes,Full ODM bundle on filer ortho_images
12/09/25,spot_1,89,yes,yes,yes,Full ODM bundle on filer ortho_images
30/11/25,spot_1,89,yes,yes,yes,
31/01/26,spot_1,89,yes,yes,yes,
10/05/26,spot_1,111,yes,yes,yes,
21/06/25,spot_2,0,yes (placeholder),yes,yes,Full ODM bundle on filer ortho_images
08/07/25,spot_2,0,yes (placeholder),yes,yes,Full ODM bundle on filer ortho_images
20/07/25,spot_2,0,yes (placeholder),yes,yes,Full ODM bundle on filer ortho_images
10/08/25,spot_2,0,yes (placeholder),yes,yes,Full ODM bundle on filer ortho_images
11/09/25,spot_2,86,yes,yes,yes,
30/11/25,spot_2,86,yes,yes,yes,
31/01/26,spot_2,86,yes,yes,yes,
10/05/26,spot_2,86,yes,yes,yes,
21/06/25,spot_3,0,yes (placeholder),yes,yes,Full ODM bundle on filer ortho_images
07/07/25,spot_3,0,yes (placeholder),yes,yes,Full ODM bundle on filer ortho_images
20/07/25,spot_3,0,yes (placeholder),yes,yes,Full ODM bundle on filer ortho_images
10/08/25,spot_3,0,yes (placeholder),yes,yes,Full ODM bundle on filer ortho_images
14/11/25,spot_3,61,yes,yes,yes,
30/11/25,spot_3,60,yes,yes,yes,
31/01/26,spot_3,60,yes,yes,yes,
10/05/26,spot_3,60,yes,yes,yes,
09/11/25,spot_4,60,yes,yes,yes,
14/11/25,spot_4,39,yes,yes,yes,
30/11/25,spot_4,60,yes,yes,yes,
31/01/26,spot_4,60,yes,yes,yes,
10/05/26,spot_4,60,yes,yes,yes,
