package,area,crowns,labelled,acacia,non_acacia,species_source,field_source,desk_source,clustering_source
clean_confident,A1,158,34,1,33,34,0,0,0
clean_confident,A2,153,30,0,30,30,0,0,0
clean_confident,A3,187,55,0,55,55,0,0,0
clean_confident,A4,167,41,0,41,41,0,0,0
clean_confident,A5,201,8,0,8,8,0,0,0
clean_confident,MITTAL,36,11,0,11,11,0,0,0
clean_confident,SIT,131,75,0,75,75,0,0,0
clean_confident,SV_S1,656,160,65,95,31,6,123,0
clean_confident,SV_S2,717,153,71,82,14,4,135,0
clean_confident,SV_S3,628,112,76,36,20,5,87,0
clean_confident,SV_S4,178,59,39,20,24,4,31,0
clean_plus_clustering,A1,158,34,1,33,34,0,0,0
clean_plus_clustering,A2,153,30,0,30,30,0,0,0
clean_plus_clustering,A3,187,55,0,55,55,0,0,0
clean_plus_clustering,A4,167,41,0,41,41,0,0,0
clean_plus_clustering,A5,201,8,0,8,8,0,0,0
clean_plus_clustering,MITTAL,36,11,0,11,11,0,0,0
clean_plus_clustering,SIT,131,75,0,75,75,0,0,0
clean_plus_clustering,SV_S1,656,656,182,474,31,6,123,496
clean_plus_clustering,SV_S2,717,717,291,426,14,4,135,564
clean_plus_clustering,SV_S3,628,628,348,280,20,5,87,516
clean_plus_clustering,SV_S4,178,178,110,68,24,4,31,119
